TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2020,3,29,8,2,14XX CYPRESS ST,Kitsilano,489245.8136,5457841.6304
Break and Enter Commercial,2005,4,1,3,46,14XX LABURNUM ST,Kitsilano,488983.755,5457866.8101
Break and Enter Commercial,2005,8,15,0,1,14XX LABURNUM ST,Kitsilano,488991.696,5457822.5087
Break and Enter Commercial,2016,6,8,12,0,14XX LABURNUM ST,Kitsilano,488991.696,5457822.5087
Break and Enter Commercial,2021,12,2,7,0,14XX MAPLE ST,Kitsilano,489070.7352,5457849.6076
Break and Enter Commercial,2020,2,2,9,32,14XX MAPLE ST,Kitsilano,489070.7658,5457850.5414
Break and Enter Commercial,2020,1,28,21,0,14XX MAPLE ST,Kitsilano,489079.5739,5457840.2387
Break and Enter Commercial,2020,3,1,0,0,14XX MAPLE ST,Kitsilano,489079.5739,5457840.2387
Break and Enter Commercial,2003,8,23,5,59,14XX WALNUT ST,Kitsilano,489159.9351,5457816.1411
Break and Enter Commercial,2022,2,28,20,0,14XX WALNUT ST,Kitsilano,489169.8061,5457842.7645
Break and Enter Commercial,2007,8,11,11,30,14XX WALNUT ST,Kitsilano,489169.8363,5457843.8751
Break and Enter Commercial,2011,7,8,2,0,15XX VINE ST,Kitsilano,488556.6099,5457723.6705
Break and Enter Commercial,2014,11,2,0,0,15XX VINE ST,Kitsilano,488556.6099,5457723.6705
Break and Enter Commercial,2022,11,8,23,30,15XX YEW ST,Kitsilano,488721.1508,5457743.2077
Break and Enter Commercial,2003,4,14,6,34,15XX YEW ST,Kitsilano,488730.4299,5457748.4682
Break and Enter Commercial,2003,9,25,23,0,15XX YEW ST,Kitsilano,488730.8436,5457764.9389
Break and Enter Commercial,2004,6,13,2,32,15XX YEW ST,Kitsilano,488730.8436,5457764.9389
Break and Enter Commercial,2006,9,16,22,40,15XX YEW ST,Kitsilano,488730.8436,5457764.9389
Break and Enter Commercial,2011,4,29,18,58,15XX YEW ST,Kitsilano,488730.8436,5457764.9389
Break and Enter Commercial,2019,2,5,19,7,16XX ARBUTUS ST,Kitsilano,488890.3735,5457602.7492
Break and Enter Commercial,2004,1,5,5,15,16XX ARBUTUS ST,Kitsilano,488890.4171,5457604.3793
Break and Enter Commercial,2015,11,14,22,0,16XX ARBUTUS ST,Kitsilano,488890.4171,5457604.3793
Break and Enter Commercial,2019,1,31,0,0,16XX ARBUTUS ST,Kitsilano,488890.4171,5457604.3793
Break and Enter Commercial,2018,4,3,19,30,16XX ARBUTUS ST,Kitsilano,488899.6138,5457606.2436
Break and Enter Commercial,2019,9,20,0,0,16XX ARBUTUS ST,Kitsilano,488900.7509,5457648.9263
Break and Enter Commercial,2021,10,12,16,14,16XX BALSAM ST,Kitsilano,488376.0066,5457672.395
Break and Enter Commercial,2011,12,4,11,0,16XX BALSAM ST,Kitsilano,488383.4618,5457604.3187
Break and Enter Commercial,2016,3,12,13,46,16XX BALSAM ST,Kitsilano,488384.8067,5457658.4491
Break and Enter Commercial,2003,6,16,2,0,16XX CHESTNUT ST,Kitsilano,489345.3284,5457574.4366
Break and Enter Commercial,2022,1,8,10,45,16XX CHESTNUT ST,Kitsilano,489345.3352,5457576.7632
Break and Enter Commercial,2003,3,19,17,0,16XX CHESTNUT ST,Kitsilano,489345.3387,5457577.9863
Break and Enter Commercial,2003,5,9,23,0,16XX CHESTNUT ST,Kitsilano,489345.3387,5457577.9863
Break and Enter Commercial,2009,12,14,18,10,16XX CHESTNUT ST,Kitsilano,489345.3387,5457577.9863
Break and Enter Commercial,2003,9,18,2,58,16XX CHESTNUT ST,Kitsilano,489345.4836,5457627.6813
Break and Enter Commercial,2013,12,7,17,0,16XX CYPRESS ST,Kitsilano,489238.8672,5457586.1275
Break and Enter Commercial,2019,1,30,23,30,16XX CYPRESS ST,Kitsilano,489238.8672,5457586.1275
Break and Enter Commercial,2020,10,17,3,0,16XX CYPRESS ST,Kitsilano,489238.8672,5457586.1275
Break and Enter Commercial,2020,11,20,23,0,16XX CYPRESS ST,Kitsilano,489238.8672,5457586.1275
Break and Enter Commercial,2009,1,5,0,30,16XX CYPRESS ST,Kitsilano,489240.2401,5457635.7687
Break and Enter Commercial,2020,4,11,0,0,16XX CYPRESS ST,Kitsilano,489247.5913,5457570.8175
Break and Enter Commercial,2006,9,20,16,0,16XX CYPRESS ST,Kitsilano,489247.6646,5457573.4645
Break and Enter Commercial,2014,5,10,14,0,16XX CYPRESS ST,Kitsilano,489247.6646,5457573.4645
Break and Enter Commercial,2014,11,7,9,48,16XX CYPRESS ST,Kitsilano,489247.6646,5457573.4645
Break and Enter Commercial,2016,1,9,19,0,16XX CYPRESS ST,Kitsilano,489247.6646,5457573.4645
Break and Enter Commercial,2020,4,14,3,45,16XX CYPRESS ST,Kitsilano,489247.6646,5457573.4645
Break and Enter Commercial,2020,5,8,3,13,16XX CYPRESS ST,Kitsilano,489247.6646,5457573.4645
Break and Enter Commercial,2022,11,7,0,0,16XX CYPRESS ST,Kitsilano,489248.3368,5457597.7825
Break and Enter Commercial,2023,5,15,4,1,16XX CYPRESS ST,Kitsilano,489248.3368,5457597.7825
Break and Enter Commercial,2003,6,8,22,30,16XX CYPRESS ST,Kitsilano,489248.351,5457598.285
Break and Enter Commercial,2004,10,8,19,0,16XX VINE ST,Kitsilano,488545.6823,5457643.6189
Break and Enter Commercial,2005,7,22,12,0,16XX VINE ST,Kitsilano,488545.6823,5457643.6189
Break and Enter Commercial,2007,9,1,19,0,16XX VINE ST,Kitsilano,488545.6823,5457643.6189
Break and Enter Commercial,2016,8,3,4,4,16XX VINE ST,Kitsilano,488545.6823,5457643.6189
Break and Enter Commercial,2011,11,8,6,19,16XX VINE ST,Kitsilano,488545.9992,5457657.7466
Break and Enter Commercial,2014,6,23,23,0,16XX WHYTE AVE,Kitsilano,489572.0476,5458074.0109
Break and Enter Commercial,2017,9,21,2,46,16XX WHYTE AVE,Kitsilano,489572.0476,5458074.0109
Break and Enter Commercial,2023,6,7,0,0,16XX WHYTE AVE,Kitsilano,489572.0476,5458074.0109
Break and Enter Commercial,2022,11,13,0,0,16XX WHYTE AVE,Kitsilano,489688.2058,5458137.9115
Break and Enter Commercial,2023,2,18,21,49,16XX WHYTE AVE,Kitsilano,489688.2058,5458137.9115
Break and Enter Commercial,2004,4,29,16,30,16XX WHYTE AVE,Kitsilano,489689.1304,5458138.3988
Break and Enter Commercial,2004,9,29,6,0,16XX WHYTE AVE,Kitsilano,489689.1304,5458138.3988
Break and Enter Commercial,2006,1,1,1,0,16XX WHYTE AVE,Kitsilano,489689.1304,5458138.3988
Break and Enter Commercial,2010,4,21,1,16,16XX WHYTE AVE,Kitsilano,489689.1304,5458138.3988
Break and Enter Commercial,2011,3,17,0,1,16XX WHYTE AVE,Kitsilano,489689.1304,5458138.3988
Break and Enter Commercial,2011,10,17,0,1,16XX WHYTE AVE,Kitsilano,489689.1304,5458138.3988
Break and Enter Commercial,2016,8,23,12,58,16XX WHYTE AVE,Kitsilano,489689.1304,5458138.3988
Break and Enter Commercial,2018,2,22,15,15,16XX WHYTE AVE,Kitsilano,489689.1304,5458138.3988
Break and Enter Commercial,2018,9,29,10,0,16XX WHYTE AVE,Kitsilano,489689.1304,5458138.3988
Break and Enter Commercial,2019,10,15,3,27,16XX WHYTE AVE,Kitsilano,489689.1304,5458138.3988
Break and Enter Commercial,2019,10,17,1,41,16XX WHYTE AVE,Kitsilano,489689.1304,5458138.3988
Break and Enter Commercial,2014,5,3,4,30,16XX YEW ST,Kitsilano,488717.2145,5457591.3143
Break and Enter Commercial,2016,9,19,5,29,16XX YEW ST,Kitsilano,488717.2145,5457591.3143
Break and Enter Commercial,2013,9,12,18,30,16XX YEW ST,Kitsilano,488718.4886,5457639.1329
Break and Enter Commercial,2012,7,2,7,26,16XX YEW ST,Kitsilano,488719.1964,5457665.6988
Break and Enter Commercial,2003,2,12,3,0,16XX YEW ST,Kitsilano,488727.9125,5457649.5157
Break and Enter Commercial,2005,7,24,4,30,16XX YEW ST,Kitsilano,488727.9125,5457649.5157
Break and Enter Commercial,2008,2,1,22,0,16XX YEW ST,Kitsilano,488727.9125,5457649.5157
Break and Enter Commercial,2014,12,27,16,27,16XX YEW ST,Kitsilano,488727.9597,5457651.2867
Break and Enter Commercial,2010,3,10,17,0,16XX YEW ST,Kitsilano,488728.1484,5457658.371
Break and Enter Commercial,2011,9,5,21,0,16XX YEW ST,Kitsilano,488728.1484,5457658.371
Break and Enter Commercial,2011,9,12,22,0,16XX YEW ST,Kitsilano,488728.1484,5457658.371
Break and Enter Commercial,2019,1,30,17,0,16XX YEW ST,Kitsilano,488728.2249,5457661.2442
Break and Enter Commercial,2006,9,1,5,49,16XX YEW ST,Kitsilano,488728.29,5457663.6842
Break and Enter Commercial,2006,11,24,6,51,16XX YEW ST,Kitsilano,488728.29,5457663.6842
Break and Enter Commercial,2006,12,15,11,42,16XX YEW ST,Kitsilano,488728.29,5457663.6842
Break and Enter Commercial,2006,12,17,3,30,16XX YEW ST,Kitsilano,488728.29,5457663.6842
Break and Enter Commercial,2006,10,26,0,0,1707B YEW ST,Kitsilano,488716.4988,5457563.7732
Break and Enter Commercial,2003,8,23,18,0,17XX BALSAM ST,Kitsilano,488373.0761,5457556.7627
Break and Enter Commercial,2003,9,12,17,0,17XX BALSAM ST,Kitsilano,488382.3145,5457560.1352
Break and Enter Commercial,2006,1,5,1,30,17XX BALSAM ST,Kitsilano,488382.3145,5457560.1352
Break and Enter Commercial,2008,4,6,19,0,17XX BALSAM ST,Kitsilano,488382.3145,5457560.1352
Break and Enter Commercial,2009,11,10,7,0,17XX BALSAM ST,Kitsilano,488382.3145,5457560.1352
Break and Enter Commercial,2017,4,6,1,34,17XX BALSAM ST,Kitsilano,488382.3758,5457562.4112
Break and Enter Commercial,2003,8,23,3,50,17XX BURRARD ST,Kitsilano,489409.6384,5457512.8289
Break and Enter Commercial,2012,11,7,23,0,17XX BURRARD ST,Kitsilano,489409.6384,5457512.8289
Break and Enter Commercial,2017,8,11,23,0,17XX BURRARD ST,Kitsilano,489409.6812,5457513.5482
Break and Enter Commercial,2013,4,13,0,0,17XX BURRARD ST,Kitsilano,489410.0681,5457520.0425
Break and Enter Commercial,2013,4,23,21,44,17XX BURRARD ST,Kitsilano,489410.6052,5457529.0596
Break and Enter Commercial,2011,5,23,3,30,17XX BURRARD ST,Kitsilano,489411.1423,5457538.0767
Break and Enter Commercial,2003,6,19,6,0,17XX BURRARD ST,Kitsilano,489411.6794,5457547.0938
Break and Enter Commercial,2003,7,18,18,0,17XX BURRARD ST,Kitsilano,489411.6794,5457547.0938
Break and Enter Commercial,2011,3,19,3,0,17XX BURRARD ST,Kitsilano,489411.6794,5457547.0938
Break and Enter Commercial,2011,5,23,4,54,17XX BURRARD ST,Kitsilano,489411.6794,5457547.0938
Break and Enter Commercial,2012,6,21,22,24,17XX BURRARD ST,Kitsilano,489411.6794,5457547.0938
Break and Enter Commercial,2019,6,24,8,24,17XX CYPRESS ST,Kitsilano,489246.9574,5457547.0379
Break and Enter Commercial,2018,1,9,12,0,17XX LARCH ST,Kitsilano,488206.9814,5457566.7978
Break and Enter Commercial,2023,1,23,3,0,17XX TRAFALGAR ST,Kitsilano,488031.4796,5457578.1212
Break and Enter Commercial,2006,8,16,10,40,17XX TRUTCH ST,Kitsilano,487224.0817,5457529.9591
Break and Enter Commercial,2010,2,13,23,0,17XX YEW ST,Kitsilano,488716.4988,5457563.7732
Break and Enter Commercial,2020,10,19,19,15,18XX BALSAM ST,Kitsilano,488369.7944,5457431.0771
Break and Enter Commercial,2004,10,8,3,0,18XX BURRARD ST,Kitsilano,489404.8942,5457403.761
Break and Enter Commercial,2005,10,3,4,55,18XX BURRARD ST,Kitsilano,489404.8942,5457403.761
Break and Enter Commercial,2006,7,9,1,59,18XX BURRARD ST,Kitsilano,489404.8942,5457403.761
Break and Enter Commercial,2011,3,10,11,12,18XX BURRARD ST,Kitsilano,489404.8942,5457403.761
Break and Enter Commercial,2013,5,5,2,5,18XX BURRARD ST,Kitsilano,489404.8942,5457403.761
Break and Enter Commercial,2015,2,1,5,50,18XX BURRARD ST,Kitsilano,489404.8942,5457403.761
Break and Enter Commercial,2015,7,19,6,55,18XX BURRARD ST,Kitsilano,489404.8942,5457403.761
Break and Enter Commercial,2016,2,16,21,24,18XX BURRARD ST,Kitsilano,489404.8942,5457403.761
Break and Enter Commercial,2016,3,21,1,38,18XX BURRARD ST,Kitsilano,489404.8942,5457403.761
Break and Enter Commercial,2006,4,18,3,18,18XX BURRARD ST,Kitsilano,489405.4746,5457425.3666
Break and Enter Commercial,2005,9,16,17,0,18XX BURRARD ST,Kitsilano,489406.0549,5457446.9722
Break and Enter Commercial,2007,12,7,5,47,18XX BURRARD ST,Kitsilano,489406.0549,5457446.9722
Break and Enter Commercial,2008,9,25,15,30,18XX BURRARD ST,Kitsilano,489406.0549,5457446.9722
Break and Enter Commercial,2010,1,28,2,43,18XX BURRARD ST,Kitsilano,489406.0549,5457446.9722
Break and Enter Commercial,2010,12,24,2,52,18XX BURRARD ST,Kitsilano,489406.0549,5457446.9722
Break and Enter Commercial,2011,1,28,1,57,18XX BURRARD ST,Kitsilano,489406.0549,5457446.9722
Break and Enter Commercial,2012,6,17,2,5,18XX BURRARD ST,Kitsilano,489406.0549,5457446.9722
Break and Enter Commercial,2017,5,31,5,0,18XX BURRARD ST,Kitsilano,489406.0549,5457446.9722
Break and Enter Commercial,2018,10,5,4,20,18XX BURRARD ST,Kitsilano,489406.0549,5457446.9722
Break and Enter Commercial,2021,4,28,5,26,18XX BURRARD ST,Kitsilano,489406.0549,5457446.9722
Break and Enter Commercial,2008,5,22,5,26,18XX CORNWALL AVE,Kitsilano,489254.6519,5457761.2459
Break and Enter Commercial,2008,6,17,13,30,18XX CORNWALL AVE,Kitsilano,489262.7827,5457761.023
Break and Enter Commercial,2020,9,8,8,46,18XX CORNWALL AVE,Kitsilano,489264.1378,5457760.9858
Break and Enter Commercial,2005,8,31,4,35,18XX CORNWALL AVE,Kitsilano,489305.8963,5457750.6937
Break and Enter Commercial,2009,4,18,4,50,18XX CORNWALL AVE,Kitsilano,489305.8963,5457750.6937
Break and Enter Commercial,2014,9,6,2,53,18XX CORNWALL AVE,Kitsilano,489305.8963,5457750.6937
Break and Enter Commercial,2015,2,18,0,50,18XX CORNWALL AVE,Kitsilano,489305.8963,5457750.6937
Break and Enter Commercial,2015,6,9,1,10,18XX CORNWALL AVE,Kitsilano,489305.8963,5457750.6937
Break and Enter Commercial,2016,3,21,3,56,18XX CORNWALL AVE,Kitsilano,489305.8963,5457750.6937
Break and Enter Commercial,2020,10,11,6,0,18XX CORNWALL AVE,Kitsilano,489305.8963,5457750.6937
Break and Enter Commercial,2017,1,23,9,58,18XX CYPRESS ST,Kitsilano,489235.0178,5457442.0278
Break and Enter Commercial,2019,12,20,10,10,18XX GREER AVE,Kitsilano,489272.6809,5457869.0586
Break and Enter Commercial,2020,7,7,4,21,18XX GREER AVE,Kitsilano,489272.6809,5457869.0586
Break and Enter Commercial,2023,7,20,2,0,18XX GREER AVE,Kitsilano,489272.6809,5457869.0586
Break and Enter Commercial,2018,5,1,22,0,18XX GREER AVE,Kitsilano,489274.0106,5457869.1049
Break and Enter Commercial,2018,9,4,5,33,18XX GREER AVE,Kitsilano,489274.0106,5457869.1049
Break and Enter Commercial,2018,11,5,10,6,18XX GREER AVE,Kitsilano,489274.0106,5457869.1049
Break and Enter Commercial,2014,2,6,1,49,18XX GREER AVE,Kitsilano,489339.6515,5457871.3932
Break and Enter Commercial,2017,11,30,10,9,18XX GREER AVE,Kitsilano,489341.2389,5457871.4488
Break and Enter Commercial,2018,9,21,1,30,18XX GREER AVE,Kitsilano,489341.2389,5457871.4488
Break and Enter Commercial,2018,9,21,11,8,18XX GREER AVE,Kitsilano,489341.2389,5457871.4488
Break and Enter Commercial,2020,3,25,2,0,18XX GREER AVE,Kitsilano,489341.2389,5457871.4488
Break and Enter Commercial,2009,5,13,0,5,18XX GREER AVE,Kitsilano,489351.2352,5457871.797
Break and Enter Commercial,2023,1,6,6,48,18XX LARCH ST,Kitsilano,488195.7083,5457482.1895
Break and Enter Commercial,2008,4,6,15,0,18XX MACDONALD ST,Kitsilano,487757.8849,5457494.0067
Break and Enter Commercial,2012,2,4,6,8,18XX MACDONALD ST,Kitsilano,487757.8849,5457494.0067
Break and Enter Commercial,2012,3,13,1,42,18XX MACDONALD ST,Kitsilano,487757.8849,5457494.0067
Break and Enter Commercial,2017,3,18,9,0,18XX MACDONALD ST,Kitsilano,487757.8849,5457494.0067
Break and Enter Commercial,2019,10,11,5,0,18XX MACDONALD ST,Kitsilano,487757.9363,5457495.9181
Break and Enter Commercial,2015,12,11,0,0,18XX W 10TH AVE,Kitsilano,489297.7476,5456682.3785
Break and Enter Commercial,2019,11,9,12,0,18XX W 10TH AVE,Kitsilano,489314.0285,5456681.9512
Break and Enter Commercial,2007,8,31,2,47,18XX W 10TH AVE,Kitsilano,489374.1983,5456680.3726
Break and Enter Commercial,2011,4,19,0,34,18XX W 12TH AVE,Kitsilano,489304.7668,5456471.7034
Break and Enter Commercial,2013,11,24,18,0,18XX W 15TH AVE,Kitsilano,489248.6298,5456155.9334
Break and Enter Commercial,2003,6,7,3,15,18XX W 15TH AVE,Kitsilano,489347.5855,5456163.2251
Break and Enter Commercial,2014,5,6,16,13,18XX W 16TH AVE,Kitsilano,489286.1089,5456063.306
Break and Enter Commercial,2010,1,17,4,45,18XX W 16TH AVE,Kitsilano,489298.8933,5456062.934
Break and Enter Commercial,2011,6,24,17,0,18XX W 16TH AVE,Kitsilano,489330.854,5456062.004
Break and Enter Commercial,2006,1,8,22,0,18XX W 16TH AVE,Kitsilano,489353.2266,5456061.353
Break and Enter Commercial,2006,3,19,18,0,18XX W 16TH AVE,Kitsilano,489353.2266,5456061.353
Break and Enter Commercial,2007,2,15,5,0,18XX W 16TH AVE,Kitsilano,489353.2266,5456061.353
Break and Enter Commercial,2019,10,1,0,0,18XX W 16TH AVE,Kitsilano,489355.9965,5456061.2722
Break and Enter Commercial,2020,2,29,0,0,18XX W 16TH AVE,Kitsilano,489355.9965,5456061.2722
Break and Enter Commercial,2003,12,23,19,30,18XX W 1ST AVE,Kitsilano,489247.9558,5457555.193
Break and Enter Commercial,2006,7,30,18,0,18XX W 1ST AVE,Kitsilano,489247.9558,5457555.193
Break and Enter Commercial,2006,9,3,18,0,18XX W 1ST AVE,Kitsilano,489247.9558,5457555.193
Break and Enter Commercial,2007,1,18,23,30,18XX W 1ST AVE,Kitsilano,489247.9558,5457555.193
Break and Enter Commercial,2009,1,13,3,0,18XX W 1ST AVE,Kitsilano,489247.9558,5457555.193
Break and Enter Commercial,2011,11,5,5,57,18XX W 1ST AVE,Kitsilano,489247.9558,5457555.193
Break and Enter Commercial,2014,6,26,19,25,18XX W 1ST AVE,Kitsilano,489247.9558,5457555.193
Break and Enter Commercial,2017,7,15,4,54,18XX W 1ST AVE,Kitsilano,489263.1764,5457554.8044
Break and Enter Commercial,2011,2,2,22,0,18XX W 1ST AVE,Kitsilano,489264.5801,5457554.7691
Break and Enter Commercial,2003,9,15,4,0,18XX W 1ST AVE,Kitsilano,489264.8133,5457563.9101
Break and Enter Commercial,2006,11,10,4,36,18XX W 1ST AVE,Kitsilano,489264.8133,5457563.9101
Break and Enter Commercial,2006,11,24,5,5,18XX W 1ST AVE,Kitsilano,489264.8133,5457563.9101
Break and Enter Commercial,2003,3,3,23,0,18XX W 1ST AVE,Kitsilano,489271.463,5457563.7406
Break and Enter Commercial,2007,2,8,19,0,18XX W 1ST AVE,Kitsilano,489277.8796,5457554.4299
Break and Enter Commercial,2013,4,16,18,30,18XX W 1ST AVE,Kitsilano,489277.8796,5457554.4299
Break and Enter Commercial,2018,1,28,4,28,18XX W 1ST AVE,Kitsilano,489284.0122,5457554.2731
Break and Enter Commercial,2009,7,16,2,51,18XX W 1ST AVE,Kitsilano,489284.5293,5457554.2604
Break and Enter Commercial,2013,7,2,2,59,18XX W 1ST AVE,Kitsilano,489284.5293,5457554.2604
Break and Enter Commercial,2005,8,31,18,0,18XX W 1ST AVE,Kitsilano,489287.8542,5457554.1756
Break and Enter Commercial,2006,5,21,20,0,18XX W 1ST AVE,Kitsilano,489287.8542,5457554.1756
Break and Enter Commercial,2009,5,21,18,0,18XX W 1ST AVE,Kitsilano,489287.8542,5457554.1756
Break and Enter Commercial,2014,10,13,18,0,18XX W 1ST AVE,Kitsilano,489287.8542,5457554.1756
Break and Enter Commercial,2015,12,23,15,59,18XX W 1ST AVE,Kitsilano,489287.8542,5457554.1756
Break and Enter Commercial,2016,9,6,1,14,18XX W 1ST AVE,Kitsilano,489287.8542,5457554.1756
Break and Enter Commercial,2004,3,3,3,24,18XX W 1ST AVE,Kitsilano,489304.4785,5457553.7516
Break and Enter Commercial,2005,4,9,12,0,18XX W 1ST AVE,Kitsilano,489304.4785,5457553.7516
Break and Enter Commercial,2008,3,3,17,30,18XX W 1ST AVE,Kitsilano,489321.1028,5457553.3277
Break and Enter Commercial,2013,6,25,17,35,18XX W 1ST AVE,Kitsilano,489321.1028,5457553.3277
Break and Enter Commercial,2013,7,29,3,10,18XX W 1ST AVE,Kitsilano,489321.1028,5457553.3277
Break and Enter Commercial,2003,7,10,17,0,18XX W 1ST AVE,Kitsilano,489321.3359,5457562.4687
Break and Enter Commercial,2011,1,22,7,17,18XX W 1ST AVE,Kitsilano,489321.3359,5457562.4687
Break and Enter Commercial,2016,5,20,11,40,18XX W 1ST AVE,Kitsilano,489321.3359,5457562.4687
Break and Enter Commercial,2006,7,15,16,0,18XX W 1ST AVE,Kitsilano,489331.3104,5457562.2144
Break and Enter Commercial,2020,11,24,1,0,18XX W 1ST AVE,Kitsilano,489332.8623,5457562.1744
Break and Enter Commercial,2018,6,22,2,30,18XX W 1ST AVE,Kitsilano,489351.7323,5457552.5425
Break and Enter Commercial,2022,7,15,9,46,18XX W 1ST AVE,Kitsilano,489351.7323,5457552.5425
Break and Enter Commercial,2003,3,6,23,30,18XX W 1ST AVE,Kitsilano,489353.0701,5457552.5063
Break and Enter Commercial,2004,1,6,6,0,18XX W 1ST AVE,Kitsilano,489353.0701,5457552.5063
Break and Enter Commercial,2012,12,21,15,0,18XX W 1ST AVE,Kitsilano,489353.0701,5457552.5063
Break and Enter Commercial,2016,12,9,3,30,18XX W 1ST AVE,Kitsilano,489353.0701,5457552.5063
Break and Enter Commercial,2020,1,30,18,0,18XX W 1ST AVE,Kitsilano,489358.6019,5457561.5021
Break and Enter Commercial,2010,12,7,2,51,18XX W 1ST AVE,Kitsilano,489359.408,5457552.3329
Break and Enter Commercial,2022,11,7,1,30,18XX W 1ST AVE,Kitsilano,489368.2814,5457552.0899
Break and Enter Commercial,2003,8,5,22,30,18XX W 1ST AVE,Kitsilano,489391.3478,5457560.6066
Break and Enter Commercial,2009,1,3,8,41,18XX W 1ST AVE,Kitsilano,489391.3478,5457560.6066
Break and Enter Commercial,2010,9,17,19,0,18XX W 1ST AVE,Kitsilano,489394.2667,5457551.3794
Break and Enter Commercial,2020,4,13,14,30,18XX W 1ST AVE,Kitsilano,489394.7599,5457551.3658
Break and Enter Commercial,2015,8,23,2,0,18XX W 1ST AVE,Kitsilano,489400.6047,5457551.206
Break and Enter Commercial,2015,9,4,21,0,18XX W 1ST AVE,Kitsilano,489400.6047,5457551.206
Break and Enter Commercial,2015,9,18,0,1,18XX W 1ST AVE,Kitsilano,489400.6047,5457551.206
Break and Enter Commercial,2015,9,19,0,30,18XX W 1ST AVE,Kitsilano,489400.6047,5457551.206
Break and Enter Commercial,2017,2,15,1,30,18XX W 1ST AVE,Kitsilano,489400.6047,5457551.206
Break and Enter Commercial,2019,3,27,19,34,18XX W 1ST AVE,Kitsilano,489400.6047,5457551.206
Break and Enter Commercial,2022,4,29,16,13,18XX W 1ST AVE,Kitsilano,489404.9394,5457560.2349
Break and Enter Commercial,2003,6,16,2,0,18XX W 1ST AVE,Kitsilano,489407.1927,5457560.1732
Break and Enter Commercial,2023,4,19,17,0,18XX W 2ND AVE,Kitsilano,489265.1068,5457466.1022
